#, Field, Field type, Field size in bytes, Comment
":math:`1`", ":ref:`Transaction type ID <02_decentralchain:Transaction Types>`", ":ref:`Byte <02_decentralchain:Blockchain Data Types>`", ":math:`1`", "Value must be :math:`6`."
":math:`2`", "Buy order size", ":ref:`Int <02_decentralchain:Blockchain Data Types>`", ":math:`4`", " "
":math:`3`", "Sell order size", ":ref:`Int <02_decentralchain:Blockchain Data Types>`", ":math:`4`", " "
":math:`4`", "Buy order", "Array[:ref:`Byte <02_decentralchain:Blockchain Data Types>`]", "See :ref:`order binary format <02_decentralchain:Order Binary Format>`", " "
":math:`5`", "Sell order", "Array[:ref:`Byte <02_decentralchain:Blockchain Data Types>`]", "See order binary format", " "
":math:`6`", "Deal price", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", "Price for the amount asset (base currency) nominated in the price asset (quote currency)."
":math:`7`", "Amount", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", "Amount of the amount asset (base currency) that the buyer received from the seller."
":math:`8`", "Buy matcher fee", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", " "
":math:`9`", "Sell matcher fee", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", " "
":math:`10`", ":ref:`Transaction fee <02_decentralchain:Transaction Fees>`", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", " "
":math:`11`", "Transaction timestamp", ":ref:`Long <02_decentralchain:Blockchain Data Types>`", ":math:`8`", " "
":math:`12`", "Transaction signature", "Array[:ref:`Byte <02_decentralchain:Blockchain Data Types>`]", ":math:`64`", " "