#, Name, Data type, Description
":math:`1`", "feeAssetId", ":ref:`ByteVector <03_advanced:ByteVector>` | :ref:`Unit <03_advanced:Unit>`", "Token to pay the commission."
":math:`2`", "amount", ":ref:`Int <03_advanced:Int>`", "Amount of tokens to transfer."
":math:`3`", "assetId", ":ref:`ByteVector <03_advanced:ByteVector>` | :ref:`Unit <03_advanced:Unit>`", "ID of a token."
":math:`4`", "recipient", ":ref:`Address <03_advanced:Address>` | :ref:`Alias <03_advanced:Alias>`", "Address or alias of the recipient."
":math:`5`", "attachment", ":ref:`ByteVector <03_advanced:ByteVector>`", "Arbitrary data attached to transfer. The maximum data size is :math:`140` bytes."
":math:`6`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction ID."
":math:`7`", "fee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`8`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Transaction timestamp."
":math:`9`", "version", ":ref:`Int <03_advanced:Int>`", "Transaction version."
":math:`10`", "sender", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of a transaction sender."
":math:`11`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Account public key of a sender."
":math:`12`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction body bytes."
":math:`13`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Array of proofs."