Name, Max number of inputs, Complexity
"bn256groth16Verify(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`16`", ":math:`1650`"
"bn256groth16Verify_1inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`1`", ":math:`800`"
"bn256groth16Verify_2inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`2`", ":math:`850`"
"bn256groth16Verify_3inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`3`", ":math:`950`"
"bn256groth16Verify_4inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`4`", ":math:`1000`"
"bn256groth16Verify_5inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`5`", ":math:`1050`"
"bn256groth16Verify_6inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`6`", ":math:`1100`"
"bn256groth16Verify_7inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`7`", ":math:`1150`"
"bn256groth16Verify_8inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`8`", ":math:`1200`"
"bn256groth16Verify_9inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`9`", ":math:`1250`"
"bn256groth16Verify_10inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`10`", ":math:`1300`"
"bn256groth16Verify_11inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`11`", ":math:`1350`"
"bn256groth16Verify_12inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`12`", ":math:`1400`"
"bn256groth16Verify_13inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`13`", ":math:`1450`"
"bn256groth16Verify_14inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`14`", ":math:`1550`"
"bn256groth16Verify_15inputs(vk:ByteVector, proof:ByteVector, inputs:ByteVector): Boolean", ":math:`15`", ":math:`1600`"