#, Name, Data type ,Description
":math:`1`", "assetId", ":ref:`ByteVector <03_ride-language:ByteVector>`", ":ref:`Token ID <02_decentralchain:Token ID>`."
":math:`2`", "minSponsoredAssetFee", ":ref:`Int <03_ride-language:Int>` |  :ref:`Unit <03_ride-language:Unit>`", "Amount of asset that is equivalent to 0.001 :ref:`DecentralCoins <02_decentralchain:DecentralCoin>` (100,000 Decentralites): an integer value specified in atomic units. unit â€“ disable sponsorship."
":math:`3`", "id", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Transaction ID."
":math:`4`", "fee", ":ref:`Int <03_ride-language:Int>`", ":ref:`Transaction fee <02_decentralchain:Transaction Fees>`."
":math:`5`", "timestamp", ":ref:`Int <03_ride-language:Int>`", "Transaction timestamp."
":math:`6`", "version", ":ref:`Int <03_ride-language:Int>`", "Transaction version."
":math:`7`", "sender", ":ref:`Address <03_ride-language:Address>`", ":ref:`Address <02_decentralchain:Address>` of the transaction sender."
":math:`8`", "senderPublicKey", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Public key of the transaction sender."
":math:`9`", "bodyBytes", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Transaction body bytes."
":math:`10`", "proofs", ":ref:`List <03_ride-language:List>` [:ref:`ByteVector <03_ride-language:ByteVector>`]", "Proofs."