Data type name, Ride keyword
":ref:`Big Integer <03_advanced:BigInt>`", "BigInt"
":ref:`Boolean <03_advanced:Boolean>`", "Boolean"
":ref:`Byte array <03_advanced:ByteVector>`", "ByteVector"
":ref:`Integer <03_advanced:Int>`", "Int"
":ref:`String <03_advanced:String>`", "String"
":ref:`Empty value <03_advanced:Unit>`", "Unit"
":ref:`List <03_advanced:List>`", "List"
":ref:`Tuple <03_advanced:Tuple>`", "—"
":ref:`Union <03_advanced:Union>`", "—"
":ref:`Structure <03_advanced:Structures>`", "—"
":ref:`Arbitrary type <03_advanced:Any>`", "Any"